"Step","yolov7-self-driving - train/box_loss","yolov7-self-driving - train/box_loss__MIN","yolov7-self-driving - train/box_loss__MAX"
"0","0.06406556069850922","0.06406556069850922","0.06406556069850922"
"1","0.04598996043205261","0.04598996043205261","0.04598996043205261"
"2","0.0448768213391304","0.0448768213391304","0.0448768213391304"
"3","0.04119151830673218","0.04119151830673218","0.04119151830673218"
"4","0.038293562829494476","0.038293562829494476","0.038293562829494476"
"5","0.036616500467061996","0.036616500467061996","0.036616500467061996"
"6","0.0352303683757782","0.0352303683757782","0.0352303683757782"
"7","0.03458520770072937","0.03458520770072937","0.03458520770072937"
"8","0.0342683382332325","0.0342683382332325","0.0342683382332325"
"9","0.03379092738032341","0.03379092738032341","0.03379092738032341"
"10","0.0335821695625782","0.0335821695625782","0.0335821695625782"
"11","0.03347572311758995","0.03347572311758995","0.03347572311758995"
"12","0.033133361488580704","0.033133361488580704","0.033133361488580704"
"13","0.032927006483078","0.032927006483078","0.032927006483078"
"14","0.03279704973101616","0.03279704973101616","0.03279704973101616"
"15","0.032621677964925766","0.032621677964925766","0.032621677964925766"
"16","0.03253309056162834","0.03253309056162834","0.03253309056162834"
"17","0.03233608230948448","0.03233608230948448","0.03233608230948448"
"18","0.03224755451083183","0.03224755451083183","0.03224755451083183"
"19","0.03234608843922615","0.03234608843922615","0.03234608843922615"
"20","0.0321594700217247","0.0321594700217247","0.0321594700217247"
"21","0.03219456225633621","0.03219456225633621","0.03219456225633621"
"22","0.032145436853170395","0.032145436853170395","0.032145436853170395"
"23","0.03195386752486229","0.03195386752486229","0.03195386752486229"
"24","0.031907614320516586","0.031907614320516586","0.031907614320516586"
"25","0.03182530030608177","0.03182530030608177","0.03182530030608177"
"26","0.03168245404958725","0.03168245404958725","0.03168245404958725"
"27","0.03174750134348869","0.03174750134348869","0.03174750134348869"
"28","0.031547170132398605","0.031547170132398605","0.031547170132398605"
"29","0.031643807888031006","0.031643807888031006","0.031643807888031006"
"30","0.03155771642923355","0.03155771642923355","0.03155771642923355"
"31","0.0315820574760437","0.0315820574760437","0.0315820574760437"
"32","0.031430430710315704","0.031430430710315704","0.031430430710315704"
"33","0.03142984211444855","0.03142984211444855","0.03142984211444855"
