"Step","yolov7-self-driving - metrics/mAP_0.5","yolov7-self-driving - metrics/mAP_0.5__MIN","yolov7-self-driving - metrics/mAP_0.5__MAX"
"0","0.21214719263254794","0.21214719263254794","0.21214719263254794"
"1","0.32891935217918883","0.32891935217918883","0.32891935217918883"
"2","0.3905110009880669","0.3905110009880669","0.3905110009880669"
"3","0.4485920286848314","0.4485920286848314","0.4485920286848314"
"4","0.4508919683210609","0.4508919683210609","0.4508919683210609"
"5","0.4831491727652987","0.4831491727652987","0.4831491727652987"
"6","0.45839716529711305","0.45839716529711305","0.45839716529711305"
"7","0.5024472353695203","0.5024472353695203","0.5024472353695203"
"8","0.4832305944933447","0.4832305944933447","0.4832305944933447"
"9","0.49380991857678264","0.49380991857678264","0.49380991857678264"
"10","0.5044069886442994","0.5044069886442994","0.5044069886442994"
"11","0.5114166946608931","0.5114166946608931","0.5114166946608931"
"12","0.4910960097400657","0.4910960097400657","0.4910960097400657"
"13","0.5058671564454474","0.5058671564454474","0.5058671564454474"
"14","0.5109869983406382","0.5109869983406382","0.5109869983406382"
"15","0.5116073693345807","0.5116073693345807","0.5116073693345807"
"16","0.5228214772682678","0.5228214772682678","0.5228214772682678"
"17","0.5230804174137306","0.5230804174137306","0.5230804174137306"
"18","0.5157204833812975","0.5157204833812975","0.5157204833812975"
"19","0.5214644674041186","0.5214644674041186","0.5214644674041186"
"20","0.5344810552627404","0.5344810552627404","0.5344810552627404"
"21","0.5174986399517858","0.5174986399517858","0.5174986399517858"
"22","0.5153486003773347","0.5153486003773347","0.5153486003773347"
"23","0.5230245204602335","0.5230245204602335","0.5230245204602335"
"24","0.5378121898188484","0.5378121898188484","0.5378121898188484"
"25","0.5294161279072551","0.5294161279072551","0.5294161279072551"
"26","0.5409923548016783","0.5409923548016783","0.5409923548016783"
"27","0.5509395462602265","0.5509395462602265","0.5509395462602265"
"28","0.5468148387623708","0.5468148387623708","0.5468148387623708"
"29","0.5313244585750425","0.5313244585750425","0.5313244585750425"
"30","0.5490581443011173","0.5490581443011173","0.5490581443011173"
"31","0.5308393733049679","0.5308393733049679","0.5308393733049679"
"32","0.5403836879267934","0.5403836879267934","0.5403836879267934"
"33","0.5443447350693408","0.5443447350693408","0.5443447350693408"
"34","0.5375933646560898","0.5375933646560898","0.5375933646560898"
"35","0.5380177411699812","0.5380177411699812","0.5380177411699812"
"36","0.536122698089615","0.536122698089615","0.536122698089615"
