"Step","yolov7-self-driving - train/obj_loss","yolov7-self-driving - train/obj_loss__MIN","yolov7-self-driving - train/obj_loss__MAX"
"0","0.028652727603912354","0.028652727603912354","0.028652727603912354"
"1","0.03128521516919136","0.03128521516919136","0.03128521516919136"
"2","0.030319487676024437","0.030319487676024437","0.030319487676024437"
"3","0.031183933839201927","0.031183933839201927","0.031183933839201927"
"4","0.030842525884509087","0.030842525884509087","0.030842525884509087"
"5","0.03049607388675213","0.03049607388675213","0.03049607388675213"
"6","0.02988460659980774","0.02988460659980774","0.02988460659980774"
"7","0.029764074832201004","0.029764074832201004","0.029764074832201004"
"8","0.02905956655740738","0.02905956655740738","0.02905956655740738"
"9","0.029441257938742638","0.029441257938742638","0.029441257938742638"
"10","0.029107753187417984","0.029107753187417984","0.029107753187417984"
"11","0.02883537858724594","0.02883537858724594","0.02883537858724594"
"12","0.028755327686667442","0.028755327686667442","0.028755327686667442"
"13","0.0282699316740036","0.0282699316740036","0.0282699316740036"
"14","0.02829599380493164","0.02829599380493164","0.02829599380493164"
"15","0.028045419603586197","0.028045419603586197","0.028045419603586197"
"16","0.02833661437034607","0.02833661437034607","0.02833661437034607"
"17","0.027654318138957024","0.027654318138957024","0.027654318138957024"
"18","0.027636541053652763","0.027636541053652763","0.027636541053652763"
"19","0.027841271832585335","0.027841271832585335","0.027841271832585335"
"20","0.02814197540283203","0.02814197540283203","0.02814197540283203"
"21","0.027965428307652473","0.027965428307652473","0.027965428307652473"
"22","0.02763771079480648","0.02763771079480648","0.02763771079480648"
"23","0.027297407388687134","0.027297407388687134","0.027297407388687134"
"24","0.027350084856152534","0.027350084856152534","0.027350084856152534"
"25","0.02728116698563099","0.02728116698563099","0.02728116698563099"
"26","0.02710588462650776","0.02710588462650776","0.02710588462650776"
"27","0.027213461697101593","0.027213461697101593","0.027213461697101593"
"28","0.027007363736629486","0.027007363736629486","0.027007363736629486"
"29","0.02706248313188553","0.02706248313188553","0.02706248313188553"
"30","0.026790952309966087","0.026790952309966087","0.026790952309966087"
"31","0.027057137340307236","0.027057137340307236","0.027057137340307236"
"32","0.026598472148180008","0.026598472148180008","0.026598472148180008"
"33","0.026995569467544556","0.026995569467544556","0.026995569467544556"
"34","0.026539159938693047","0.026539159938693047","0.026539159938693047"
"35","0.026668332517147064","0.026668332517147064","0.026668332517147064"
"36","0.026480188593268394","0.026480188593268394","0.026480188593268394"
"37","0.026344934478402138","0.026344934478402138","0.026344934478402138"
"38","0.02662268839776516","0.02662268839776516","0.02662268839776516"
"39","0.0263923779129982","0.0263923779129982","0.0263923779129982"
"40","0.026218362152576447","0.026218362152576447","0.026218362152576447"
"41","0.02649218589067459","0.02649218589067459","0.02649218589067459"
"42","0.02628651261329651","0.02628651261329651","0.02628651261329651"
"43","0.02612081542611122","0.02612081542611122","0.02612081542611122"
"44","0.02621603012084961","0.02621603012084961","0.02621603012084961"
"45","0.025867078453302383","0.025867078453302383","0.025867078453302383"
"46","0.026048187166452408","0.026048187166452408","0.026048187166452408"
